Assembly k_xy, Max mises 1, Assembly k_theta, Max mises 2, Mass
8.8575e+08,-0.1,2.34024e+11,1083014272.0,-6568560.01011
9.55967e+08,-0.1,2.70402e+11,1219201536.0,-6590413.81904
6.63736e+08,-0.1,1.98607e+11,972770752.0,-6410515.01792
7.5535e+08,-0.1,2.0709e+11,969525120.0,-6486327.07054
7.40186e+08,-0.1,1.93296e+11,954636800.0,-6451631.48771
6.14694e+08,-0.1,1.69212e+11,820272512.0,-6410515.01792
8.58951e+08,-0.1,2.16531e+11,1193606784.0,-6514601.76642
1.0989e+09,-0.1,2.87541e+11,1295314816.0,-6663634.72359
1.00226e+09,-0.1,1.97191e+11,932829888.0,-6670055.61054
8.62981e+08,-0.1,2.25463e+11,1113228160.0,-6486327.07054
9.85093e+08,-0.1,2.62618e+11,1181231488.0,-6609676.4799
9.81306e+08,-0.1,1.94887e+11,1011969152.0,-6628939.14075
1.01978e+09,-0.1,2.16456e+11,939615168.0,-6679067.64557
7.64975e+08,-0.1,1.95425e+11,944898048.0,-6499168.84444
9.19175e+08,-0.1,2.09056e+11,1066235584.0,-6568560.01011
6.4259e+08,-0.1,1.63276e+11,874100480.0,-6410515.01792
9.52915e+08,-0.1,2.32179e+11,1150147712.0,-6568560.01011
8.27691e+08,-0.1,2.24228e+11,1079180672.0,-6540285.31423
9.20509e+08,-0.1,2.29148e+11,981692800.0,-6622518.2538
8.54696e+08,-0.1,2.36252e+11,1130064128.0,-6546706.20118
6.75819e+08,-0.1,1.83001e+11,910911936.0,-6533864.42728
8.02264e+08,-0.1,1.98714e+11,1007625216.0,-6555718.23621
1.31915e+09,-0.1,3.75873e+11,856968896.0,-6698330.30642
8.33127e+08,-0.1,2.48239e+11,1217434624.0,-6533864.42728
9.38593e+08,-0.1,1.70905e+11,842275456.0,-6603255.59295
5.68623e+08,-0.1,1.03003e+11,937620032.0,-6631530.28883
7.92849e+08,-0.1,1.79298e+11,925889472.0,-6527443.54033
6.77447e+08,-0.1,1.87556e+11,867040704.0,-6521022.65337
7.97474e+08,-0.1,2.14181e+11,1025774912.0,-6404094.13097
7.97175e+08,-0.1,1.6568e+11,916239936.0,-6562139.12316
1.09071e+09,-0.1,2.84911e+11,1276880768.0,-6603255.59295
8.42395e+08,-0.1,2.12287e+11,940223168.0,-6540285.31423
6.87994e+08,-0.1,1.84019e+11,940829184.0,-6416935.90487
9.82223e+08,-0.1,2.53321e+11,1121031808.0,-6622518.2538
1.26076e+09,-0.1,2.87134e+11,1249862784.0,-6704751.19337
8.91493e+08,-0.1,2.04157e+11,1007425344.0,-6609676.4799
1.00749e+09,-0.1,2.41132e+11,939548096.0,-6590413.81904
8.22754e+08,-0.1,2.15958e+11,1134145792.0,-6540285.31423
8.68308e+08,-0.1,2.01635e+11,989184384.0,-6499168.84444
1.11667e+09,-0.1,2.78593e+11,1299116928.0,-6628939.14075
8.50535e+08,-0.1,2.40643e+11,1172113408.0,-6562139.12316
7.3076e+08,-0.1,2.12544e+11,1014119424.0,-6410515.01792
8.4837e+08,-0.1,2.00877e+11,916515264.0,-6479906.18359
8.95962e+08,-0.1,2.60681e+11,1175257472.0,-6622518.2538
7.93881e+08,-0.1,2.02061e+11,926006080.0,-6568560.01011
1.10127e+09,-0.1,3.14994e+11,1267812224.0,-6616097.36685
6.08173e+08,-0.1,9.97907e+10,704124544.0,-6501759.99252
7.36888e+08,-0.1,1.85534e+11,924115648.0,-6479906.18359
7.78903e+08,-0.1,1.79263e+11,761683968.0,-6581401.78401
9.5606e+08,-0.1,2.86577e+11,1246962176.0,-6549297.34926
7.66219e+08,-0.1,2.0166e+11,954950016.0,-6574980.89706
9.28864e+08,-0.1,2.61501e+11,1223138560.0,-6568560.01011
9.76819e+08,-0.1,2.28706e+11,1247987840.0,-6631530.28883
7.70106e+08,-0.1,1.53e+11,1191853056.0,-6622518.2538
1.18687e+09,-0.1,2.80481e+11,1249456128.0,-6761300.58514
8.85915e+08,-0.1,2.45741e+11,1266959616.0,-6562139.12316
7.86051e+08,-0.1,1.98046e+11,931156416.0,-6514601.76642
8.68489e+08,-0.1,2.24282e+11,975454336.0,-6568560.01011
7.43149e+08,-0.1,1.68194e+11,794137216.0,-6514601.76642
9.20861e+08,-0.1,2.83405e+11,946979776.0,-6555718.23621
8.58002e+08,-0.1,1.84696e+11,934415296.0,-6628939.14075
7.09463e+08,-0.1,1.66881e+11,856733440.0,-6555718.23621
7.61531e+08,-0.1,1.58346e+11,799721152.0,-6479906.18359
8.66206e+08,-0.1,2.04098e+11,1161842048.0,-6679067.64557
9.56333e+08,-0.1,2.74398e+11,1277519488.0,-6574980.89706
7.54424e+08,-0.1,2.02404e+11,1062254208.0,-6514601.76642
7.35545e+08,-0.1,1.8602e+11,941889600.0,-6479906.18359
9.37763e+08,-0.1,1.71733e+11,1014080576.0,-6650792.94968
1.10609e+09,-0.1,2.64491e+11,1115543936.0,-6711172.08032
9.52711e+08,-0.1,2.78771e+11,1301570048.0,-6546706.20118
5.78219e+08,-0.1,1.04436e+11,715154496.0,-6514601.76642
7.61068e+08,-0.1,2.12735e+11,1014357376.0,-6388661.20899
8.8697e+08,-0.1,2.42622e+11,1097274240.0,-6549297.34926
9.36652e+08,-0.1,2.80985e+11,1261926400.0,-6616097.36685
9.49372e+08,-0.1,2.16034e+11,945037248.0,-6644372.06273
7.46078e+08,-0.1,2.18553e+11,981405824.0,-6533864.42728
8.0846e+08,-0.1,2.47498e+11,1169261568.0,-6479906.18359
1.11978e+09,-0.1,2.28948e+11,1027954368.0,-6635360.0277
9.02528e+08,-0.1,2.27841e+11,996289728.0,-6625109.40188
7.57449e+08,-0.1,2.16149e+11,1014324160.0,-6527443.54033
1.0196e+09,-0.1,2.83373e+11,1279953408.0,-6691909.41947
8.50339e+08,-0.1,2.49483e+11,1212657664.0,-6521022.65338
6.69113e+08,-0.1,1.50796e+11,723880448.0,-6533864.42728
1.19062e+09,-0.1,3.18088e+11,1294130048.0,-6726605.0023
8.36718e+08,-0.1,2.3242e+11,1041644608.0,-6562139.12316
8.73877e+08,-0.1,1.94079e+11,1018082944.0,-6574980.89706
5.57233e+08,-0.1,8.02008e+10,524443072.0,-6514601.76642
7.66928e+08,-0.1,1.96984e+11,959376768.0,-6562139.12316
1.17785e+09,-0.1,3.15814e+11,1297320448.0,-6644372.06273
7.43249e+08,-0.1,2.16898e+11,1087122176.0,-6499168.84444
7.26112e+08,-0.1,2.11983e+11,1018632128.0,-6521022.65338
6.18795e+08,-0.1,1.56871e+11,733630400.0,-6438789.7138
1.01906e+09,-0.1,2.40649e+11,1031030912.0,-6698330.30642
1.09263e+09,-0.1,2.42171e+11,1226826112.0,-6691909.41947
5.27276e+08,-0.1,1.02532e+11,652054592.0,-6514601.76642
7.97054e+08,-0.1,1.75138e+11,906133184.0,-6521022.65337
6.7675e+08,-0.1,1.81303e+11,928341568.0,-6479906.18359
7.05499e+08,-0.1,1.99067e+11,953915264.0,-6356556.77423
8.50741e+08,-0.1,2.19942e+11,1062078016.0,-6527443.54033
9.3795e+08,-0.1,2.38011e+11,1081512064.0,-6616097.36685
1.03629e+09,-0.1,2.52687e+11,1032624512.0,-6679067.64557
7.16788e+08,-0.1,2.09797e+11,1080274048.0,-6499168.84444
6.42741e+08,-0.1,1.48948e+11,869313344.0,-6486327.07054
8.78251e+08,-0.1,2.20986e+11,1041015360.0,-6581401.78401
6.99089e+08,-0.1,1.91955e+11,934851840.0,-6479906.18359
8.18089e+08,-0.1,1.72347e+11,922403008.0,-6574980.89706
1.16919e+09,-0.1,3.02703e+11,1306462720.0,-6691909.41947
9.16284e+08,-0.1,2.98396e+11,1141613568.0,-6458052.37466
6.40125e+08,-0.1,1.55298e+11,761369792.0,-6404094.13097
9.88913e+08,-0.1,2.68019e+11,1195715840.0,-6644372.06273
8.33392e+08,-0.1,1.73596e+11,844313728.0,-6562139.12316
6.53439e+08,-0.1,1.96189e+11,922265600.0,-6413106.166
7.07825e+08,-0.1,1.91262e+11,975951040.0,-6416935.90487
5.52835e+08,-0.1,1.14535e+11,755669568.0,-6492747.95749
7.37783e+08,-0.1,2.03836e+11,989147648.0,-6473485.29664
7.16922e+08,-0.1,1.80215e+11,926490368.0,-6479906.18359
8.54779e+08,-0.1,2.01944e+11,993556288.0,-6533864.42728
7.18891e+08,-0.1,2.19329e+11,1053902336.0,-6404094.13097
1.24046e+09,-0.1,2.79679e+11,1281828096.0,-6676476.49749
9.65149e+08,-0.1,2.09062e+11,1131962240.0,-6644372.06273
8.14424e+08,-0.1,1.87226e+11,952884288.0,-6568560.01011
7.718e+08,-0.1,2.0787e+11,1086333056.0,-6508180.87947
9.00565e+08,-0.1,2.40162e+11,1116918272.0,-6479906.18359
1.01071e+09,-0.1,2.53214e+11,1225240576.0,-6603255.59295
6.77056e+08,-0.1,1.6716e+11,787640768.0,-6445210.60075
8.78254e+08,-0.1,1.77453e+11,972936192.0,-6549297.34926
7.4785e+08,-0.1,1.86691e+11,943490496.0,-6527443.54033
6.78905e+08,-0.1,1.82806e+11,888105984.0,-6432368.82685
1.03863e+09,-0.1,3.0785e+11,1307709184.0,-6657213.83664
6.45147e+08,-0.1,1.60831e+11,840736832.0,-6416935.90487
9.00166e+08,-0.1,2.60284e+11,1197520000.0,-6609676.4799
6.376e+08,-0.1,1.25999e+11,758394880.0,-6672646.75862
9.61018e+08,-0.1,2.24434e+11,870890048.0,-6603255.59295
8.35683e+08,-0.1,2.27815e+11,1142870272.0,-6546706.20118
1.06327e+09,-0.1,2.26948e+11,1107243648.0,-6663634.72359
9.2686e+08,-0.1,2.46462e+11,1033446592.0,-6527443.54033
7.11561e+08,-0.1,1.85404e+11,951645312.0,-6451631.48771
7.06668e+08,-0.1,1.73175e+11,816842752.0,-6397673.24402
9.28016e+08,-0.1,2.28162e+11,1101206912.0,-6568560.01011
9.40465e+08,-0.1,2.53406e+11,1145040768.0,-6628939.14075
8.87397e+08,-0.1,2.20591e+11,1112272256.0,-6616097.36685
1.03771e+09,-0.1,2.98569e+11,1340446080.0,-6628939.14075
7.588e+08,-0.1,1.88436e+11,923340928.0,-6527443.54033
7.50675e+08,-0.1,2.029e+11,950206272.0,-6577572.04514
7.67622e+08,-0.1,1.85814e+11,960336704.0,-6521022.65338
7.86727e+08,-0.1,2.1413e+11,1106701184.0,-6527443.54033
8.36499e+08,-0.1,2.2384e+11,1047075648.0,-6492747.95749
7.63321e+08,-0.1,2.02989e+11,972827712.0,-6479906.18359
9.70871e+08,-0.1,2.74074e+11,1292577536.0,-6644372.06273
7.68131e+08,-0.1,1.58216e+11,1009510912.0,-6568560.01011
9.24384e+08,-0.1,2.07822e+11,1005525632.0,-6562139.12316
9.73079e+08,-0.1,2.21321e+11,1113503232.0,-6670055.61054
6.95183e+08,-0.1,1.6538e+11,816182208.0,-6486327.07054
7.24738e+08,-0.1,1.82662e+11,862665216.0,-6486327.07054
9.96536e+08,-0.1,3.02542e+11,1342819840.0,-6546706.20118
8.01468e+08,-0.1,1.98684e+11,989863296.0,-6555718.23621
6.89324e+08,-0.1,1.27322e+11,826764032.0,-6454222.63578
6.95056e+08,-0.1,1.73543e+11,875122368.0,-6473485.29664
6.95043e+08,-0.1,1.70664e+11,852720640.0,-6555718.23621
8.4601e+08,-0.1,1.87536e+11,952108864.0,-6568560.01011
8.31511e+08,-0.1,1.9543e+11,883336256.0,-6568560.01011
5.55438e+08,-0.1,7.40902e+10,524638816.0,-6460643.52274
7.39863e+08,-0.1,1.43325e+11,692924864.0,-6514601.76642
9.32504e+08,-0.1,2.54682e+11,1070478720.0,-6616097.36685
7.07779e+08,-0.1,1.64589e+11,1045147776.0,-6473485.29664
1.06764e+09,-0.1,3.17086e+11,1319021056.0,-6622518.2538
9.2595e+08,-0.1,2.4187e+11,985668992.0,-6568560.01011
8.91085e+08,-0.1,2.34236e+11,1036654208.0,-6533864.42728
7.40456e+08,-0.1,1.6178e+11,811494912.0,-6540285.31423
1.05869e+09,-0.1,2.35059e+11,1100147840.0,-6685488.53252
8.77373e+08,-0.1,1.79739e+11,860809600.0,-6657213.83664
6.55363e+08,-0.1,1.7767e+11,876265472.0,-6343715.00033
7.34e+08,-0.1,1.0641e+11,955708992.0,-6637951.17578
8.70699e+08,-0.1,2.285e+11,1068233088.0,-6631530.28883
8.65168e+08,-0.1,1.95653e+11,1019246400.0,-6609676.4799
9.93426e+08,-0.1,2.4071e+11,1175759744.0,-6574980.89706
1.06227e+09,-0.1,3.17354e+11,1272153856.0,-6663634.72359
9.47999e+08,-0.1,2.54311e+11,1173610752.0,-6644372.06273
7.20602e+08,-0.1,1.87042e+11,910958208.0,-6514601.76642
9.11691e+08,-0.1,2.74492e+11,1263673600.0,-6622518.2538
9.98004e+08,-0.1,2.5883e+11,1104681344.0,-6616097.36685
9.83165e+08,-0.1,2.28223e+11,1149343360.0,-6581401.78401
8.66594e+08,-0.1,2.41425e+11,1026131712.0,-6568560.01011
7.67156e+08,-0.1,1.62465e+11,820429056.0,-6574980.89706
7.74999e+08,-0.1,2.11433e+11,998420288.0,-6521022.65337
1.1378e+09,-0.1,3.36197e+11,966327552.0,-6672646.75862
9.62018e+08,-0.1,2.5232e+11,1136294912.0,-6631530.28883
8.97899e+08,-0.1,2.20353e+11,1037990080.0,-6521022.65337
8.44204e+08,-0.1,2.10758e+11,983770944.0,-6514601.76642
8.02892e+08,-0.1,2.34093e+11,1027036672.0,-6540285.31423
7.44252e+08,-0.1,1.36763e+11,1019093440.0,-6521022.65338
9.18812e+08,-0.1,2.5473e+11,1268683648.0,-6568560.01011
1.03197e+09,-0.1,2.40104e+11,1098839168.0,-6581401.78401
7.25496e+08,-0.1,1.2406e+11,898766784.0,-6521022.65337
8.08379e+08,-0.1,1.66398e+11,844666496.0,-6549297.34926
9.6676e+08,-0.1,2.59465e+11,1174797696.0,-6609676.4799
1.22024e+09,-0.1,2.86146e+11,1241587072.0,-6685488.53252
1.12874e+09,-0.1,2.83507e+11,1260814976.0,-6657213.83663
3.63716e+08,-0.1,8.73823e+10,459289472.0,-6540285.31423
7.86975e+08,-0.1,1.761e+11,919500672.0,-6527443.54033
6.93604e+08,-0.1,1.86624e+11,991956736.0,-6451631.48771
8.53572e+08,-0.1,2.38158e+11,1123236864.0,-6622518.2538
7.70601e+08,-0.1,2.14422e+11,1031925056.0,-6486327.07054
6.86291e+08,-0.1,1.68285e+11,891996672.0,-6479906.18359
7.37832e+08,-0.1,2.06826e+11,1091837568.0,-6499168.84444
7.85286e+08,-0.1,1.86037e+11,999184128.0,-6568560.01011
6.92725e+08,-0.1,1.5933e+11,821092416.0,-6473485.29664
7.69592e+08,-0.1,1.85778e+11,918634944.0,-6574980.89706
6.58069e+08,-0.1,1.37369e+11,681023680.0,-6391252.35707
1.05497e+09,-0.1,2.69982e+11,1254782208.0,-6609676.4799
9.86312e+08,-0.1,1.75449e+11,824895552.0,-6635360.0277
1.06604e+09,-0.1,2.92744e+11,1269936000.0,-6616097.36685
9.45089e+08,-0.1,2.47746e+11,1015513664.0,-6562139.12316
9.28144e+08,-0.1,2.22787e+11,1010068672.0,-6711172.08032
7.4626e+08,-0.1,1.99597e+11,1023586880.0,-6397673.24402
8.60949e+08,-0.1,2.01556e+11,1015165312.0,-6555718.23621
8.5411e+08,-0.1,2.30869e+11,973162112.0,-6540285.31423
9.06918e+08,-0.1,2.48096e+11,1254122368.0,-6555718.23621
1.0955e+09,-0.1,2.37193e+11,1018861504.0,-6644372.06273
6.84757e+08,-0.1,1.85774e+11,929237376.0,-6445210.60075
9.85613e+08,-0.1,2.92857e+11,1263908608.0,-6542876.46231
7.91766e+08,-0.1,2.26174e+11,1067973312.0,-6568560.01011
6.55774e+08,-0.1,1.34715e+11,876011200.0,-6540285.31423
9.04984e+08,-0.1,1.96771e+11,1022457408.0,-6622518.2538
6.15365e+08,-0.1,1.68696e+11,838035968.0,-6343715.00033
9.67467e+08,-0.1,2.36792e+11,1042433408.0,-6637951.17578
7.39445e+08,-0.1,1.91626e+11,912686528.0,-6533864.42728
8.25811e+08,-0.1,2.02475e+11,980777472.0,-6616097.36685
6.66481e+08,-0.1,1.80081e+11,865575360.0,-6343715.00033
9.26291e+08,-0.1,2.42147e+11,1094091392.0,-6594243.55792
8.69372e+08,-0.1,1.89773e+11,1008343872.0,-6542876.46231
9.06978e+08,-0.1,2.0201e+11,1013254656.0,-6609676.4799
1.11968e+09,-0.1,3.35266e+11,703876608.0,-6679067.64557
1.00618e+09,-0.1,2.83814e+11,943075968.0,-6612267.62798
1.17341e+09,-0.1,2.72007e+11,1264837376.0,-6698330.30642
8.25627e+08,-0.1,2.43412e+11,1113234304.0,-6533864.42728
7.39271e+08,-0.1,1.91437e+11,962547328.0,-6514601.76642
8.46805e+08,-0.1,1.85715e+11,993897664.0,-6574980.89706
7.92146e+08,-0.1,1.91547e+11,910883456.0,-6527443.54033
8.14161e+08,-0.1,2.32724e+11,1088423424.0,-6533864.42728
9.69142e+08,-0.1,2.17498e+11,951196800.0,-6603255.59295
7.30577e+08,-0.1,1.6969e+11,814359360.0,-6492747.95749
6.83221e+08,-0.1,1.69286e+11,800513856.0,-6479906.18359
5.86511e+08,-0.1,1.53502e+11,887494976.0,-6650792.94968
6.08393e+08,-0.1,1.42233e+11,737454656.0,-6425947.9399
7.93187e+08,-0.1,1.96883e+11,946805632.0,-6514601.76642
