Ind#;Desired DVs;Actual DVs;Perf. Metrics

1;0.476,2.000,0.100,1.738,0.323,0.100,0.100,0.751,0.800,2.000,0.100,2.000,0.608,0.100,0.600,0.100,0.100,2.000,0.800,2.000,0.570,0.100,0.602,2.000,0.442,2.000,0.609,0.100,0.306,0.100;0.600,1.500,0.200,1.500,0.200,0.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646
2;0.594,0.476,0.234,1.444,0.606,0.645,0.758,0.853,0.578,1.805,0.748,0.879,0.446,0.233,0.259,1.266,0.744,0.107,0.365,1.529,0.228,1.099,0.458,0.242,0.741,0.197,0.371,0.623,0.707,0.990;0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116
3;0.122,0.158,0.197,1.585,0.343,1.622,0.255,1.440,0.773,1.049,0.309,0.334,0.147,1.905,0.134,1.977,0.549,1.649,0.288,1.671,0.154,0.593,0.251,0.658,0.403,0.207,0.727,1.673,0.506,0.278;0.200,0.500,0.200,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,1.500,0.200,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,0.500;518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116
4;0.294,1.514,0.587,0.647,0.562,1.803,0.438,1.161,0.407,1.269,0.337,0.942,0.728,0.401,0.218,0.518,0.174,1.313,0.207,1.585,0.208,0.197,0.342,0.546,0.303,0.737,0.721,1.606,0.538,1.478;0.200,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.200,1.500,0.200,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500;565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
5;0.132,1.050,0.166,1.416,0.369,1.235,0.363,1.538,0.758,1.208,0.702,1.808,0.302,0.644,0.281,0.773,0.288,0.952,0.542,0.463,0.679,1.491,0.623,0.757,0.542,1.299,0.376,0.620,0.178,1.833;0.200,1.500,0.200,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
6;0.168,1.012,0.468,1.158,0.539,1.780,0.467,1.991,0.104,1.427,0.338,0.772,0.288,1.406,0.239,0.606,0.635,0.564,0.321,0.914,0.311,0.412,0.390,1.712,0.307,1.795,0.573,1.270,0.250,0.264;0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.200,0.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,0.500;565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
7;0.676,1.819,0.471,0.853,0.115,1.893,0.285,1.929,0.527,0.156,0.197,0.328,0.516,0.368,0.524,0.654,0.664,1.626,0.771,0.127,0.369,0.633,0.139,0.405,0.535,1.379,0.277,0.293,0.125,1.088;0.600,1.500,0.600,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
8;0.586,1.259,0.703,0.217,0.737,1.143,0.148,1.117,0.661,1.103,0.455,1.181,0.433,1.073,0.677,0.458,0.173,1.666,0.449,0.718,0.556,0.593,0.373,0.400,0.133,1.402,0.765,1.373,0.411,1.150;0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
9;0.322,1.274,0.439,1.582,0.660,1.484,0.405,1.931,0.263,0.161,0.700,1.763,0.358,1.471,0.667,0.143,0.429,1.719,0.617,0.356,0.672,1.139,0.432,1.066,0.796,1.422,0.537,0.760,0.329,1.402;0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533
